#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7020 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:129 out:130 type:b dur:2 cpbdur:2 q:17.90 aq:15.86 tex:87413 mv:20650 misc:2737 imb:132 pmb:1889 smb:1579 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:17.90 aq:12.19 tex:505774 mv:25716 misc:1334 imb:748 pmb:2447 smb:405 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:17.91 aq:14.86 tex:188120 mv:27975 misc:2537 imb:164 pmb:2436 smb:1000 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:17.92 aq:15.35 tex:6631 mv:2660 misc:2173 imb:8 pmb:639 smb:2953 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:17.91 aq:15.77 tex:121740 mv:23258 misc:2570 imb:160 pmb:2143 smb:1297 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:17.98 aq:11.83 tex:481083 mv:25241 misc:1116 imb:604 pmb:2531 smb:465 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:17.94 aq:16.13 tex:110576 mv:22785 misc:2511 imb:66 pmb:2082 smb:1452 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:18.05 aq:12.20 tex:623888 mv:27676 misc:1204 imb:812 pmb:2035 smb:753 d:- ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:18.02 aq:13.94 tex:270453 mv:33767 misc:1564 imb:213 pmb:2181 smb:1206 d:- ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:18.00 aq:15.36 tex:149872 mv:28480 misc:1944 imb:153 pmb:2167 smb:1280 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:18.04 aq:15.64 tex:161576 mv:31981 misc:2083 imb:191 pmb:2467 smb:942 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:18.06 aq:12.25 tex:631434 mv:28160 misc:1006 imb:709 pmb:2030 smb:861 d:- ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:18.06 aq:14.52 tex:239969 mv:33153 misc:1822 imb:164 pmb:2317 smb:1119 d:- ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:18.06 aq:15.94 tex:156514 mv:29385 misc:2165 imb:132 pmb:2477 smb:991 d:- ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:18.06 aq:15.76 tex:112266 mv:26584 misc:2134 imb:159 pmb:2292 smb:1149 d:- ref:0 ;
in:148 out:145 type:P dur:2 cpbdur:2 q:18.30 aq:12.08 tex:649415 mv:34872 misc:729 imb:1208 pmb:2307 smb:85 d:- ref:0 ;
in:146 out:146 type:B dur:2 cpbdur:2 q:18.18 aq:14.17 tex:249640 mv:35268 misc:1916 imb:232 pmb:2445 smb:923 d:- ref:0 ;
in:145 out:147 type:b dur:2 cpbdur:2 q:18.12 aq:15.49 tex:126123 mv:26932 misc:2281 imb:143 pmb:2240 smb:1217 d:- ref:0 ;
